"PHU","PHU_fr","accessible","active","additional_information","additional_information_fr","address","address_fr","after_hours","age_threshold","appointments","asl_interpretation","children_under_2","city","drive_through","email","first_nations","free_parking","french_language_services","friday","general_population","holiday_hours","location_id","latitude","location_name","location_name_fr","longitude","monday","operated_by","operated_by_fr","paid_parking","pharmacy","phone","phu_id","postal_code","province","public_transit","region","region_fr","saturday","sunday","symptomatic","temporarily_closed","thursday","tuesday","walk_ins","website","wednesday","weeks_pregnant"
"North Bay Parry Sound District Health Unit","Bureau de santé du district de North Bay-Parry Sound","Yes","Yes","There is a separate entrance for COVID-19 testing. Individuals presenting for testing are requested to don a new face mask (provided by the testing centre) requested to clean hands, be seated and remain seated until called into the centre for testing. ",,"50 College Drive","50 chemin College","Yes","0m","Yes","No","","North Bay","No",,,"Yes","Yes","9:00-17:00",,,"78","46.334984","North Bay Regional Health Centre","North Bay Regional Health Centre","-79.494710","9:00-17:00","North Bay Regional Health Centre","North Bay Regional Health Centre",,,"705-474-8600 ext. 4110","21","P1B 5A4","ON","Yes","North","Nord","9:00-17:00","9:00-17:00","Yes",,"9:00-17:00","9:00-17:00","No","","9:00-17:00",
"Thunder Bay District Health Unit","Bureau de santé du district de Thunder Bay","Yes","Yes","Use main entrance.",,"26 Peninsula Road","26 chemin Peninsula","Yes","0m","Yes","No","","Marathon","Yes",,"Biigtigong ","Yes","Yes","14:00-16:00","Yes",,"79","48.718573","North of Superior Health Group - Marathon (Wilson site)","North of Superior Health Group - Marathon (Wilson site)","-86.375400","14:00-16:00","North of Superior Health Group - Marathon (Wilson site)","North of Superior Health Group - Marathon (Wilson site)",,,"888-294-6630","19","P0T 2E0","ON","Yes","North","Nord","","","Yes",,"14:00-16:00","14:00-16:00","No","https://www.tbdhu.com/coronavirus","14:00-16:00",
"Algoma Public Health Unit","Bureau de santé publique d'Algoma","Yes","Yes","Located in the trailer beside the Emergency Department. Specific directions and instructions are provided by email or over the phone.

Please call to schedule an appointment. After hours, please call the hospital in advance for instructions. No walk-ins at the Emergency Department please.",,"525 Causley Street","525 rue Causley","Yes","8y","Yes","No","","Blind River","Yes",,,"Yes","Yes","8:00-18:00",,,"80","46.187422","North Shore Health Network - Blind River","North Shore Health Network - Blind River","-82.924052","8:00-18:00","North Shore Health Network - Blind River","North Shore Health Network - Blind River",,,"705-356-2265 ext. 2661","20","P0R 1B0","ON","No","North","Nord","8:00-18:00","8:00-18:00","Yes",,"8:00-18:00","8:00-18:00","No","http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment","8:00-18:00",
"Algoma Public Health Unit","Bureau de santé publique d'Algoma","Yes","Yes","Located in the trailer beside the Emergency Department.

Please call to schedule an appointment. After hours, please call the hospital in advance for instructions. No walk-ins at the Emergency Department please.",,"135 Dawson Drive","135 chemin Dawson","Yes","8y","Yes","No","","Thessalon","No",,,"Yes","Yes","8:00-16:00",,,"81","46.263058","North Shore Health Network - Thessalon","North Shore Health Network - Thessalon","-83.562473","8:00-16:00","North Shore Health Network - Thessalon","North Shore Health Network - Thessalon",,,"705-356-2265 ext. 2662","20","P0R 1L0","ON","No","North","Nord",,,"Yes",,"8:00-16:00","8:00-16:00","No","http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment","8:00-16:00",
"Northwestern Health Unit","Bureau de santé publique du Nord-Ouest","Yes","Yes","Located across the street from the hospital.Individuals receive directions and instructions upon calling to book an appointment.  
Please call to schedule an appointment. After hours, please call the hospital in advance for instructions. No walk-ins at the Emergency Department please.",,"207 Victoria Avenue","207 avenue Victoria","Yes","0m","Yes","No","","Rainy River","Yes",,,"Yes","No","13:00-15:00",,,"82","48.607083","Rainy River Health Centre ","Rainy River Health Centre ","-93.393020","13:00-15:00","Riverside Health Care","Riverside Health Care",,,"807-274-3261 ext. 4913","16","P9A 2B7","ON","Yes","North","Nord","13:00-15:00","13:00-15:00","Yes",,"13:00-15:00","13:00-15:00","No","https://www.riversidehealthcare.ca/","13:00-15:00",
"Northwestern Health Unit","Bureau de santé publique du Nord-Ouest","Yes","Yes","Located across the street from the hospital, at the downstairs entrance.","Situé en face de l’hôpital, à l’entrée de l’étage inférieur.","51G Hwy 105","51G Hwy 105",,"0m","Yes","No","","Red Lake","Yes",,,"Yes","Yes","9:00-15:00",,,"83","51.013295","Red Lake Guardian Pharmacy","Red Lake Guardian Pharmacy","-93.822435","9:00-15:00","Red Lake Hospital","Red Lake Hospital",,,"807-727-7035","16","P0V 2M0","ON","Yes","North","Nord","",,"Yes",,"9:00-15:00","9:00-15:00","No","https://www.nwhu.on.ca/covid19/Pages/self-assessment.aspx","9:00-15:00",
"Thunder Bay District Health Unit","Bureau de santé du district de Thunder Bay","Yes","Yes","Entrance is through the ambulance bay at the back of the hospital.","L’entrée se fait par le stationnement pour les ambulances à l’arrière de l’hôpital.","1 Health Care Crescent","1 Healthcare Crescent","Yes","0m","Yes","No","","Manitouwadge","Yes",,,"No","Yes","8:00-19:00",,,"84","49.127701","Santé Manitouwadge Health","Santé Manitouwadge Health","-85.824681","8:00-19:00","Santé Manitouwadge Health","Santé Manitouwadge Health","No",,"807-826-3251 ext. 221","19","P0T 2C0","ON","Yes","North","Nord","8:00-19:00","8:00-19:00","Yes",,"8:00-19:00","8:00-19:00","No","https://www.nwhu.on.ca/covid19/Pages/self-assessment.aspx","8:00-19:00",
"Algoma Public Health Unit","Bureau de santé publique d'Algoma","Yes","Yes","Located 1 km away from Sault Area Hospital. Second building on the right after turning onto Drive In Road.

 For in-car testing, park in the designated space and honk to notify staff of arrival.

Please call to schedule an appointment. No walk-ins at the Emergency Department please.",,"165 Drive In Road","165 chemin Drive In",,"2y","Yes","Yes","No","Sault Ste. Marie","Yes",,,"Yes","Yes","8:00-22:00",,,"85","46.547984","Sault Area Hospital / Kal Tire","Hôpital de Sault-Sainte-Marie / Kal Tire","-84.321432","8:00-22:00","Sault Area Hospital","Hôpital de Sault-Sainte-Marie",,,"705-759-3434 ext. 7152","20","P6B 5X5","ON","Yes","North","Nord","8:00-22:00","8:00-22:00","Yes",,"8:00-22:00","8:00-22:00","No","http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment","8:00-22:00",
"Porcupine Health Unit","Bureau de santé publique de Porcupine","Yes","Yes","Please call 705-367-4613 to schedule an appointment. After hours, please call the hospital in advance for instructions. No walk-ins at the Emergency Department please.

Asymptomatic testing occurs on Thursday.",,"7 Aurora Avenue","7 avenue Aurora","Yes","0m","Yes","No","","Kapuskasing","No",,,"Yes","Yes","8:30-12:00",,,"86","49.419325","Sensenbrenner Hospital / Le Centre des Loisirs","Hôpital Sensenbrenner / Le Centre des Loisirs","-82.429848",,"Sensenbrenner Hospital","Hôpital Sensenbrenner",,,"705-367-4613","17","P5N 1J6","ON","No","North","Nord","","","Yes",,"8:30-12:00","8:30-12:00","No","https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/","8:30-12:00",
"Northwestern Health Unit","Bureau de santé publique du Nord-Ouest","Yes","Yes","Located in the front parking lot of the hospital. 

Please call to schedule an appointment. No walk-ins at the Emergency Department please.

Located in the front parking lot of the hospital. A nurse will come outside to provide instructions. Stay in your car at all times.",,"1 Meno Ya Win Way","1 chemin Meno Ya Win",,"0m","Yes","No","","Sioux Lookout","Yes",,,"Yes","Yes","8:00-16:00",,,"87","50.106023","Meno Ya Win Health Centre","Meno Ya Win Health Centre","-91.927950","8:00-16:00","Sioux Lookout Meno Ya Win Health Centre","Sioux Lookout Meno Ya Win Health Centre",,,"807-737-5880","16","P8T 1B4","ON","Yes","North","Nord",,,"Yes",,"8:00-16:00","8:00-16:00","No","https://www.nwhu.on.ca/covid19/Pages/self-assessment.aspx","8:00-16:00",
"Porcupine Health Unit","Bureau de santé publique de Porcupine","Yes","Yes","Located in the garage attached to the hospital. A nurse will come outside to do the swab. Stay in your car at all times.","Situé dans le garage annexé à l’hôpital. Une infirmière viendra à l’extérieur prélever l’écouvillon. Les patients doivent rester en tout temps dans leur véhicule pour subir le test.","107 Kelly Road","107 chemin Kelly","Yes","2y","Yes","No","","Smooth Rock Falls","Yes",,,"Yes","Yes",,"Yes",,"88","49.272619","Smooth Rock Falls Hospital","Hôpital de Smooth Rock Falls","-81.610334",,"Smooth Rock Falls Hospital","Hôpital de Smooth Rock Falls",,,"705-338-2781","17","P0L 2B0","ON","Yes","North","Nord","","","Yes",,"9:00-11:00","9:00-11:00","No","https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/",,
"Thunder Bay District Health Unit","Bureau de santé du district de Thunder Bay","Yes","Yes","Mobile clinics and home visits. No in-centre testing. Drive through testing for surge capacity only.",,"1408 Brown Street",,,"0m","Yes",,"","Thunder Bay","Yes",,,"No",,"7:00-19:00",,,"89","48.365919","Superior North EMS Community Paramedicine Program","Superior North EMS Community Paramedicine Program","-89.281230","7:00-19:00","Superior North EMS","Superior North EMS","No",,"807-625-5900","19","P7B 2M6","ON","No","North","Nord","7:00-19:00","7:00-19:00","Yes",,"7:00-19:00","7:00-19:00","No","https://www.tbdhu.com/coronavirus","7:00-19:00",
"Timiskaming Health Unit","Bureau de santé de Timiskaming","Yes","Yes","Located at the north entrance (back of the hospital). Do not use the front entrance. For after hours, call hospital in advance for instructions. No walk-ins at emergency department.","Situé à l’entrée nord (à l’arrière de l’hôpital). Les patients ne doivent pas utiliser l’entrée avant.","421 Shepherdson Road","421 chemin Shepherdson","Yes","2y","Yes","No","","Temiskaming Shores","Yes",,,"Yes","Yes","9:00-12:00&13:00-16:00","Yes",,"90","47.495213","Temiskaming Hospital","Hôpital Temiskaming","-79.693163","9:00-12:00&13:00-16:00","Temiskaming Hospital","Hôpital Temiskaming",,,"705-648-1844","1","P0J 1P0","ON","Yes","North","Nord","","10:00-12:00","Yes",,"9:00-12:00&13:00-16:00","9:00-12:00&13:00-16:00","No","","9:00-12:00&13:00-16:00",
"Thunder Bay District Health Unit","Bureau de santé du district de Thunder Bay","Yes","Yes","Located outside the emergency department entrance. Check in with the nurse at the ambulance outside of the emergency department. ",,"980 Oliver Road","980 chemin Oliver","Yes","13y","Yes","No","","Thunder Bay","Yes",,,"Yes","Yes","8:00-20:00",,,"91","48.424784","Thunder Bay Assessment Centre","Centre d'évaluation de Thunder Bay","-89.269319","8:00-20:00","Thunder Bay Regional Health Sciences Centre ","Centre régional des sciences de la santé de Thunder Bay",,,"807-935-8100","19","P7B 6V4","ON","Yes","North","Nord","8:00-20:00","8:00-20:00","Yes",,"8:00-20:00","8:00-20:00","No","https://www.tbdhu.com/coronavirus","8:00-20:00",
"Porcupine Health Unit","Bureau de santé publique de Porcupine","","Yes"," Not a walk-in clinic: Patients to call 705-267-0224 for an appointment. Do not present to TADH Emergency Department.

For after hours, please call hospital in advance for instructions. No walk-ins at ED please. 
Office closed from 12-1:15pm daily. 
Open Sunday as needed.",,"651 Ross Avenue East","651 avenue Ross Est","Yes","","Yes",,"","Timmins","No ",,,,,"8:30-16:00",,,"92","48.486008","Timmins COVID-19 Assessment Centre","Centre d'évaluation de Timmins","-81.315668","8:30-16:00","Timmins and District Hospital","Hôpital de Timmins et du district",,,"705-267-0224","17","P4N 8P2","ON",,"North","Nord","8:30-15:15","8:30-15:15","Yes",,"8:30-16:00","8:30-16:00","No","https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/","8:30-16:00",
"Porcupine Health Unit","Bureau de santé publique de Porcupine","Yes","Yes","Please call to schedule an appointment. After hours, please call the hospital in advance for instructions. No walk-ins at the Emergency Department please.

Separate entrance",,"19 Hospital Drive","19 chemin Hospital","Yes","2y","Yes","No","","Moose Factory","Yes",,"Moose Cree First Nations","Yes","No","13:00-16:00","Yes",,"93","51.250270","Weeneebayko Area Health Authority","Weeneebayko Area Health Authority","-80.616541","13:00-16:00","Weeneebayko Area Health Authority","Weeneebayko Area Health Authority",,,"705-658-4220","17","P0L 1W0","ON","No","North","Nord","","","Yes",,"13:00-16:00","13:00-16:00","No","https://www.waha.ca/covid-19/","13:00-16:00",
"Porcupine Health Unit","Bureau de santé publique de Porcupine","","Yes",,,"5 Airport Road","5 chemin Airport","Yes","","Yes",,"","Fort Albany","No ",,,,,,,,"94","52.206719","Fort Albany Hospital","Fort Albany Hospital","-81.684853","13:00-16:00","Weeneebayko Area Health Authority","Weeneebayko Area Health Authority",,,"705-336-2294 ext. 326","17","P0L 1H0","ON",,"North","Nord","","","Yes",,"13:00-16:00","13:00-16:00","No","https://www.waha.ca/covid-19/","13:00-16:00",
"Porcupine Health Unit","Bureau de santé publique de Porcupine","","Yes",,,"972 Riverside East","972 Riverside Est","Yes","","Yes",,"","Attawapiskat","No ",,,,,"8:00-16:00",,,"95","52.922613","Attawapiskat Hospital","Attawapiskat Hospital","-82.425772","8:00-16:00","Weeneebayko Area Health Authority","Weeneebayko Area Health Authority",,,"705-336-2294 ext. 326","17","P0L 1A0","ON",,"North","Nord","","","Yes",,"8:00-16:00","8:00-16:00","No","https://www.waha.ca/covid-19/","8:00-16:00",
"Porcupine Health Unit",".","","Yes",,,"5 Percy's Way","5 chemin Percy's","Yes","","Yes",,"","Moosonee ","No ",,,,,"8:00-16:00",,,"96","51.271219","Moosonee Health Centre","Moosonee Health Centre","-80.650860","8:00-16:00","Weeneebayko Area Health Authority","Weeneebayko Area Health Authority",,,"705-336-2294 ext. 326","17","P0L 1Y0","ON",,"North","Nord","","","Yes",,"8:00-16:00","8:00-16:00","No","https://www.waha.ca/covid-19/","8:00-16:00",
"Porcupine Health Unit","Bureau de santé publique de Porcupine","","Yes",,,,,"Yes","","Yes",,"","Kashechewan","No ",,,,,"8:00-16:00",,,"97","0.000000","Kashechewan Health Services","Kashechewan Health Services","0.000000","8:00-16:00","Weeneebayko Area Health Authority","Weeneebayko Area Health Authority",,,"705-336-2294 ext. 326","17","P0L 1S0","ON",,"North","Nord","","","Yes",,"8:00-16:00","8:00-16:00","No","https://www.waha.ca/covid-19/","8:00-16:00",
"Porcupine Health Unit","Bureau de santé publique de Porcupine","","Yes",,,,,"Yes","","Yes",,"","Peawanuck ","No ",,,,,"8:00-16:00",,,"98","0.000000","Peawanuck Nursing Station","Peawanuck Nursing Station","0.000000","8:00-16:00","Weeneebayko Area Health Authority","Weeneebayko Area Health Authority",,,"705-336-2294 ext. 326","17","P0L 2H0","ON",,"North","Nord","","","Yes",,"8:00-16:00","8:00-16:00","No","https://www.waha.ca/covid-19/","8:00-16:00",
"North Bay Parry Sound District Health Unit","Bureau de santé du district de North Bay-Parry Sound","","Yes","Located at Marcel Noel Hall - West Nipissing Complex.","Situé à la Salle communautaire Marcel Noël — complexe Nipissing Ouest.","219 O'Hara Street","219 rue O'Hara","Yes","","Yes",,"","Sturgeon Falls","No ",,,,,"12:00-16:00",,,"99","46.367086","West Nipissing General Hospital","Hôpital général de Nipissing Ouest","-79.917254","12:00-16:00","West Nipissing General Hospital","Hôpital général de Nipissing Ouest",,,"705-580-2186","21","P2B 2Y6","ON",,"North","Nord","","","Yes",,"12:00-16:00","12:00-16:00","No","https://www.myhealthunit.ca/en/health-topics/coronavirus.asp",,
"North Bay Parry Sound District Health Unit","Bureau de santé du district de North Bay-Parry Sound","Yes","Yes","Located at the Parry Sound Mall, Unit 105 and 106. All patients must call for an appointment.  Please arrive at the back of the building and ring the door bell.  You may return to your car or step back 2 meters from the door and await a staff member to bring you in.","Situé dans le centre commercial de Parry Sound, locaux 105 et 106.","70 Joseph Street, Unit 105 & 106","70 rue Joseph","Yes","6m","Yes","No","","Parry Sound","No",,,"Yes","No","8:00-16:00",,,"100","45.359370","West Parry Sound Health Centre","West Parry Sound Health Centre","-80.042996","8:00-16:00","West Parry Sound Health Centre","West Parry Sound Health Centre",,,"705-746-4540 ext. 5030","21","P2A 2G5","ON","Yes","North","Nord","8:00-16:00","8:00-16:00","Yes",,"8:00-16:00","8:00-16:00","No","https://www.myhealthunit.ca/en/health-topics/coronavirus.asp","8:00-16:00",
"Thunder Bay District Health Unit","Bureau de santé du district de Thunder Bay","Yes","Yes",,,"20B Cartier Road","20B rue Cartier","Yes","0m","Yes","No",,"Terrace Bay","Yes",,,"Yes","Yes",,,,"101","48.780226","North of Superior Health Group - McCausland, Terrace Bay ","North of Superior Health Group - McCausland, Terrace Bay ","-87.106507","10:00-12:00","North of Superior Health Group - McCausland, Terrace Bay ","North of Superior Health Group - McCausland, Terrace Bay ",,,"807-825-3235","19","P0T 2W0","ON","Yes","North","Nord",,,"Yes",,"10:00-12:00","10:00-12:00","No",,"10:00-12:00",
"Toronto Public Health","Bureau de santé de Toronto","Yes","Yes","Use the west entrance only. Please see the information on the Humber River Hospital website for booking appointments online, or call (416) 747-5474 for general inquiries, information about booking an appointment or accessing your test results.",,"2111 Finch Avenue West","2111 avenue Finch Ouest",,"6m","Yes","No","","Toronto","No",,,"Yes","No","11:00-19:00",,,"102","43.754813","Humber River Hospital Assessment Centre - Finch","Centre d'évaluation de l'Hôpital Humber River","-79.525921","11:00-19:00","Humber River Hospital","Hôpital Humber River",,,"416-747-5474","22","M3N 1N1","ON","Yes","Toronto","Toronto","8:00-16:00","8:00-16:00","Yes",,"11:00-19:00","11:00-19:00","No","https://www.hrh.ca/covid-19/","11:00-19:00",
"Toronto Public Health","Bureau de santé de Toronto","Yes",,"Located in the Emergency Department off of Mortimer Avenue.",,"825 Coxwell Avenue","825 avenue Coxwell",,"0m","Yes","Yes","","Toronto","No",,,,"Yes","00:00-00:00",,,"103","43.689910","Michael Garron Hospital - Emergency Department","Michael Garron Hospital - Emergency Department","-79.324858","00:00-00:00","Michael Garron Hospital","Hôpital Michael Garron","Yes",,"416-469-6858","22","M4C 3E7","ON","Yes","Toronto","Toronto","00:00-00:00","00:00-00:00","Yes","Yes","00:00-00:00","00:00-00:00","Yes","https://www.tehn.ca/programs-services/covid-19-assessment-centre","00:00-00:00",
"Toronto Public Health","Bureau de santé de Toronto","Yes","Yes","Located in the D-wing on the 1st floor of the hospital (directly off of Mortimer Avenue, west of the Emergency Department). Please see the information on the Michael Garron Hospital website for booking appointments.",,"825 Coxwell Avenue","825 avenue Coxwell",,"0m","Yes","No","","Toronto","No ",,,,"No","8:00-19:30",,,"104","43.689910","Michael Garron Hospital - Outpatient Clinic","Michael Garron Hospital - Outpatient Clinic","-79.324858","8:00-19:30","Michael Garron Hospital","Hôpital Michael Garron","Yes",,"416-469-6858","22","M4C 3E7","ON","Yes","Toronto","Toronto","8:00-19:30","8:00-19:30","Yes",,"8:00-19:30","8:00-19:30","No ","https://www.tehn.ca/programs-services/covid-19-assessment-centre","8:00-19:30",
"York Region Public Health Services","Bureau de santé publique de la région de York",,"Yes",,,"4 The Market Place","4 The Market Place",,,"No",,,"Toronto",,,,,,"12:00-17:30",,,"105","43.695869","Michael Garron Hospital (MGH) temporary testing site: Taylor Massey (Crescent Town)","Market Place Temporary Assessment Centre","-79.292138","12:00-17:30","Michael Garron Hospital","Hôpital Michael Garron",,,"416-469-6858","5","M4C 5M1","ON",,"Toronto","Toronto","12:00-17:30","12:00-17:30","Yes",,"12:00-17:30","12:00-17:30",,"https://www.tehn.ca/programs-services/covid-19-assessment-centre/temporary-covid-19-testing-sites-east-toronto","12:00-17:30",
"Toronto Public Health","Bureau de santé de Toronto","Yes","Yes","Located on the ground floor in the Henneck Gallery, close to the Emergency Department. Please see the information on Mount Sinai's website for booking appointments.",,"600 University Avenue","600 avenue University",,"0m","Yes","No","","Toronto","No",,,,"No","8:00-16:00",,,"106","43.657575","Mount Sinai Hospital","Hôpital Mount Sinai","-79.390096","8:00-16:00","Mount Sinai Hospital","Hôpital Mount Sinai","Yes",,"416-586-4800 ext. 4924 or 416-586-4800 ext. 4893","22","M5G 1X5","ON","Yes","Toronto","Toronto","","","Yes",,"8:00-16:00","8:00-16:00","Yes","https://www.sinaihealth.ca/covid19/","8:00-16:00",
"Toronto Public Health","Bureau de santé de Toronto","Yes","Yes","Please see the information on North York General Hospital’s website for booking appointments online. Or call 416-635-2509 from 8 a.m. to 4 p.m. to book your appointment over the phone.",,"555 Finch Avenue West","555 avenue Finch Ouest",,"0m","Yes","Yes","","Toronto","No",,,,"Yes","8:00-19:00",,,"107","43.772477","North York General Hospital - Branson","Hôpital général de North York - Branson","-79.448125","8:00-19:00","North York General Hospital - Branson","Hôpital général de North York - Branson","Yes",,"416-756-6000","22","M2R 1N5","ON","Yes","Toronto","Toronto","8:00-19:00","8:00-19:00","Yes",,"8:00-19:00","8:00-19:00","No ","https://nygh.on.ca/covid-19-updates","8:00-19:00",
"Toronto Public Health","Bureau de santé de Toronto","Yes",,"Located next to the Emergency Department in the converted Ambulance Bay.",,"4001 Leslie Street (Ambulance Bay)","4001 rue Leslie (baie d'ambulance)",,"0m","Yes","Yes",,"Toronto","No",,,,"Yes",,,,"108","43.769147","North York General Hospital - Emergency Department","Hôpital général de North York - Département d'urgence","-79.362744",,"North York General Hospital","Hôpital général de North York","Yes",,,"22","M2K 1E1","ON","Yes","Toronto","Toronto",,,"Yes","Yes",,,"Yes",,,
"Toronto Public Health","Bureau de santé de Toronto","Yes","Yes","Please see the information on the Scarborough Health Network website for booking appointments.",,"3030 Birchmount Road","3030 chemin Birchmount",,"6m","Yes","Yes","","Scarborough","No",,,"Yes","Yes","7:30-19:00",,,"109","43.801819","Scarborough Health Network - Birchmount","Scarborough Health Network - Birchmount","-79.309055","7:30-19:00","Scarborough Health Network - Birchmount","Scarborough Health Network - Birchmount",,,"416-495-2601 ","22","M1W 3W3","ON","Yes","Toronto","Toronto","7:30-19:00","7:30-19:00","Yes",,"7:30-19:00","7:30-19:00","No","https://www.shn.ca/covid19-assess/","7:30-19:00",
"Toronto Public Health","Bureau de santé de Toronto","Yes","Yes","Centre is next to the Emergency Department. Please see the information on the Scarborough Health Network website for booking appointments.",,"2867 Ellesmere Road","2867 chemin Ellesmere",,"6m","Yes","Yes","","Scarborough","No",,,"Yes","Yes","7:30-19:00",,,"110","43.780444","Scarborough Health Network Centenary Site","Scarborough Health Network Centenary Site","-79.204560","7:30-19:00","Scarborough Health Network - Centenary ","Scarborough Health Network - Centenary Site",,,"416-495-2601 ","22","M1E 4B9","ON","Yes","Toronto","Toronto","7:30-19:00","7:30-19:00","Yes",,"7:30-19:00","7:30-19:00","No","https://www.shn.ca/covid19-assess/","7:30-19:00",
"Toronto Public Health","Bureau de santé de Toronto","No","Yes","Use the U-Wing entrance only. The assessment centre can be accessed by the south driveway of Sunnybrook, past the Emergency department and located at U Wing. Please see the information on Sunnybrook’s website for booking appointments.",,"2075 Bayview Avenue","2075 avenue Bayview",,"1y","Yes","No","Yes","Toronto","No",,,,"No","9:30-19:30",,,"111","43.721782","Sunnybrook Health Sciences Centre","Sunnybrook Health Sciences Centre","-79.376026","9:30-19:30","Sunnybrook Health Sciences Centre","Sunnybrook Health Sciences Centre","Yes",,,"22","M4N 3M5","ON","Yes","Toronto","Toronto","9:30-19:30","9:30-19:30","Yes",,"9:30-19:30","9:30-19:30","No","https://sunnybrook.ca/content/?page=novel-coronavirus-covid-19-assessment-centre","9:30-19:30",
"Toronto Public Health","Bureau de santé de Toronto","Yes","Yes","Located in the building on the north-east corner of Bathurst Street and Dundas Street.

By appointment only. Please see the information on the UHN website for booking appointments.",,"347 Bathurst Street","337 rue Bathurst",,"1y","Yes","Yes",,"Toronto","No",,,"No","Yes","8:00-20:00",,,"112","43.652594","Toronto Western Hospital ","Hôpital Toronto Western ","-79.405856","8:00-20:00","University Health Network","University Health Network","Yes",,,"22","M5T 2S7","ON","Yes","Toronto","Toronto","8:00-20:00","12:00-20:00","Yes",,"8:00-20:00","8:00-20:00","No","https://www.uhn.ca/Covid19","8:00-20:00",
"Toronto Public Health","Bureau de santé de Toronto","Yes","Yes","Located on the main floor of the Sunnyside Building (use east entrance off of Sunnyside Avenue).
Appointments only. Bookings open 48 hours in advance and are released at 7 p.m. each day. Individuals who do not have phone or internet access may book a future appointment when they arrive at the Assessment Centres.",,"30 The Queensway","30 The Queensway",,"1y","Yes","No","","Toronto","No",,,"Yes","No","8:00-20:00",,,"113","43.640709","St. Joseph's Health Centre",,"-79.450139","8:00-20:00","Unity Health Toronto","Unity Health Toronto",,,"416-530-6720 ","22","M6R 1B5","ON","Yes","Toronto","Toronto","8:00-20:00","8:00-20:00","Yes",,"8:00-20:00","8:00-20:00","No","https://unityhealth.to/assessment-centres/","8:00-20:00",
"Toronto Public Health","Bureau de santé de Toronto","Yes","Yes","Located in the Li Ka Shing Knowledge Institute. Enter at the Shuter Street entrance near Bond Street (north-east corner of the building).
Appointments only. Bookings open 48 hours in advance and are released at 7 p.m. each day. Individuals who do not have phone or internet access may book a future appointment when they arrive at the Assessment Centres.",,"38 Shuter Street",,,"6m","Yes","No","Yes","Toronto","No",,,,"No","8:00-18:00",,"10:00-18:00","114","43.654829","St. Michael's Hospital",,"-79.378003","8:00-18:00","Unity Health Toronto","Unity Health Toronto","Yes",,"416-864-5800","22","M5B 1A6","ON","Yes","Toronto","Toronto","8:00-18:00","8:00-18:00","Yes",,"8:00-18:00","8:00-18:00","No","https://unityhealth.to/assessment-centres/","8:00-18:00",
"Toronto Public Health","Bureau de santé de Toronto","Yes","Yes","Appointments required, visit website at https://www.womenscollegehospital.ca/patients-and-caregivers/wch-covid-19-assessment-centre-v2

Use the north-east entrance located on Grosvenor Street.",,"76 Grenville Street","76 rue Grenville",,"0m","Yes","No","Yes","Toronto","No",,,,"No","08:30-19:30",,,"115","43.661634","Women's College Hospital","Women's College Hospital","-79.387628","08:30-19:30","Women's College Hospital","Women's College Hospital","Yes",,,"22","M5S 1B2","ON","Yes","Toronto","Toronto","08:30-19:30","08:30-19:30","Yes",,"08:30-19:30","08:30-19:30","No","https://www.womenscollegehospital.ca/assessmentcentre","08:30-19:30",
"Lambton Health Unit","Bureau de santé de Lambton","Yes","Yes","""Use the D-wing entrance point. Drive thru testing is ONLY available at this location on Saturdays from 9-2. Walk-in appointments are available at all hours of operation.
Appointments are available for frail elderly or those too ill to wait in line only.""",,"153 Christina Street South","153 rue Christina",,"0m","Yes","Yes","","Sarnia","Yes",,,"Yes","Yes",,,,"116","42.968947","Twin Bridges Nurse Practitioner Clinic","Twin Bridges Nurse Practitioner Clinic","-82.408908","16:00-20:00","Twin Bridges Nurse Practitioner Clinic","Twin Bridges Nurse Practitioner Clinic",,,"226-776-9030","23","N7T 2M0","ON","Yes","West","Ouest","09:00-14:00","","Yes",,"16:00-20:00","16:00-20:00","Yes","http://tbnplc.com/","16:00-20:00",
"Brant County Health Unit","Bureau de santé du comtè de Brant","Yes","Yes","Located at Brantford Civic Centre Auditorium
Appointments only. Book by calling 519-751-5818, emailing covid.assessment@bchsys.org with name and telephone number, or through online self-booking tool",,"79 Market Street South",,,"0m","Yes","No","","Brantford","No","covid.assessment@bchsys.org",,"Yes","No","8:00-22:00",,,"117","43.135386","Brant Community Healthcare System","Brant Community Healthcare System","-80.263542","8:00-22:00","Brant Community Healthcare System","Brant Community Healthcare System",,,"519-751-5818","24","N3S2E4","ON","Yes","West","Ouest","8:00-18:00","8:00-18:00","Yes",,"8:00-22:00","8:00-22:00","No","https://www.bchsys.org/en/covid-19-online-scheduling.aspx","8:00-22:00",
